ID	STRING
HMR_0691	[1.0][m01810][c] => [0.0005][m00003][c] + [0.0005][m00008][c] + [0.0005][m00010][c] + [0.0005][m00017][c] + [0.0005][m00019][c] + [0.0005][m00021][c] + [0.0124][m00094][c] + [0.0005][m00104][c] + [0.0005][m00111][c] + [0.0005][m00114][c] + [0.0005][m00115][c] + [0.0005][m00117][c] + [0.0005][m00128][c] + [0.0005][m00132][c] + [0.0005][m00135][c] + [0.0005][m00260][c] + [0.0005][m00265][c] + [0.0005][m00315][c] + [0.0005][m00341][c] + [0.0005][m01197][c] + [0.0005][m01207][c] + [0.0005][m01235][c] + [0.0005][m01238][c] + [0.0269][m01689][c] + [0.0101][m01741][c] + [0.0043][m01784][c] + [0.0031][m01291][c] + [0.2118][m01362][c] + [0.0005][m01373][c] + [0.0005][m01432][c] + [0.0005][m01582][c] + [0.0005][m01583][c] + [0.0005][m01584][c] + [0.0266][m01585][c] + [0.0228][m01696][c] + [0.0005][m01771][c] + [0.0005][m01778][c] + [0.0012][m01932][c] + [0.0005][m02053][c] + [0.0005][m02344][c] + [0.0005][m02385][c] + [0.0678][m02387][c] + [0.0019][m02389][c] + [0.0005][m02456][c] + [0.0005][m02457][c] + [0.0056][m02494][c] + [0.0005][m02564][c] + [0.0005][m02613][c] + [0.136][m02646][c] + [0.0179][m02648][c] + [0.0678][m02674][c] + [0.0053][m02675][c] + [0.0005][m02690][c] + [0.0005][m02745][c] + [0.3553][m02938][c] + [0.0027][m02939][c] + [0.0005][m03045][c] + [0.0005][m03051][c] + [0.0005][m03153][c]
HMR_0690	[1.0][m01811][c] => [0.0005][m00003][c] + [0.0005][m00008][c] + [0.0005][m00010][c] + [0.0005][m00017][c] + [0.0005][m00019][c] + [0.0005][m00021][c] + [0.0055][m00094][c] + [0.0005][m00104][c] + [0.0005][m00111][c] + [0.0005][m00114][c] + [0.0005][m00115][c] + [0.0005][m00117][c] + [0.0005][m00128][c] + [0.0005][m00132][c] + [0.0005][m00135][c] + [0.0005][m00260][c] + [0.0005][m00265][c] + [0.0005][m00315][c] + [0.0005][m00341][c] + [0.0005][m01197][c] + [0.0005][m01207][c] + [0.0005][m01235][c] + [0.0005][m01238][c] + [0.0931][m01689][c] + [0.0329][m01741][c] + [0.0286][m01784][c] + [0.0043][m01291][c] + [0.2005][m01362][c] + [0.0005][m01373][c] + [0.0005][m01432][c] + [0.0005][m01582][c] + [0.0005][m01583][c] + [0.0005][m01584][c] + [0.0131][m01585][c] + [0.0089][m01696][c] + [0.0005][m01771][c] + [0.0005][m01778][c] + [0.0011][m01932][c] + [0.0005][m02053][c] + [0.0005][m02344][c] + [0.0005][m02385][c] + [0.0177][m02387][c] + [0.0035][m02389][c] + [0.0005][m02456][c] + [0.0005][m02457][c] + [0.0055][m02494][c] + [0.0005][m02564][c] + [0.0005][m02613][c] + [0.0323][m02646][c] + [0.0174][m02648][c] + [0.0337][m02674][c] + [0.0058][m02675][c] + [0.0005][m02690][c] + [0.0005][m02745][c] + [0.4731][m02938][c] + [0.0025][m02939][c] + [0.0005][m03045][c] + [0.0005][m03051][c] + [0.0005][m03153][c]
HMR_5401	[7.0][m02751][c] + [1.0][m01993][c] => [7.0][m01967][c] + [1.0][m01996][c]
HMR_5400	[1.0][m02040][c] + [1.0][m01994][c] => [1.0][m01965][c] + [1.0][m01993][c]
HMR_5407	[1.0][m01596][s] + [1.0][m02040][s] <=> [1.0][m01421][s]
HMR_5406	[1.0][m01596][c] + [1.0][m02040][c] <=> [1.0][m01421][c]
HMR_5409	[1.0][m01421][s] => [1.0][m02039][s] + [1.0][m02046][s]
HMR_9511	[1.0][m02871][c] + [1.0][m02436][c] <=> [1.0][m02877][c] + [1.0][m02435][c]
HMR_9510	[1.0][m02871][c] + [1.0][m02437][c] <=> [1.0][m02877][c] + [1.0][m02438][c]
HMR_9513	[1.0][m02040][c] + [1.0][m02577][c] => [1.0][m01588][c] + [1.0][m01707][c]
HMR_9512	[1.0][m01597][c] + [1.0][m02627][c] <=> [1.0][m02005][c] + [1.0][m02495][c]
HMR_9515	[1.0][m02040][c] + [1.0][m02545][c] => [1.0][m02543][c] + [1.0][m01252][c]
HMR_9514	[1.0][m02039][c] + [1.0][m02555][c] + [1.0][m02630][c] + [1.0][m03053][c] => [1.0][m02040][c] + [1.0][m02554][c] + [1.0][m03054][c]
HMR_9517	[1.0][m01371][c] + [1.0][m00219][c] => [1.0][m01285][c] + [1.0][m00220][c]
HMR_9516	[1.0][m02040][c] + [1.0][m00220][c] => [1.0][m02751][c] + [1.0][m00219][c]
HMR_9519	[1.0][m02871][c] + [1.0][m03061][c] <=> [1.0][m02877][c] + [1.0][m03084][c]
HMR_9518	[1.0][m02037][c] + [1.0][m03086][c] <=> [1.0][m02820][c] + [1.0][m03084][c]
HMR_8174	[1.0][m01592][g] + [1.0][m02009][g] => [1.0][m01590][g] + [1.0][m01944][g]
HMR_8175	[1.0][m01592][g] + [1.0][m01941][g] => [1.0][m01590][g] + [1.0][m02029][g]
HMR_8176	[1.0][m01592][g] + [1.0][m02031][g] => [1.0][m01590][g] + [1.0][m02025][g]
HMR_8177	[1.0][m01592][g] + [1.0][m02025][g] => [1.0][m01590][g] + [1.0][m02018][g]
HMR_8170	[1.0][m01592][g] + [1.0][m02029][g] => [1.0][m01590][g] + [1.0][m02024][g]
HMR_8171	[1.0][m01592][g] + [1.0][m02010][g] => [1.0][m01590][g] + [1.0][m01945][g]
HMR_8172	[1.0][m01592][g] + [1.0][m01905][g] => [1.0][m01590][g] + [1.0][m02014][g]
HMR_8173	[1.0][m02014][g] + [1.0][m03107][g] => [1.0][m02009][g] + [1.0][m03106][g]
HMR_8178	[1.0][m01592][g] + [1.0][m02030][g] => [1.0][m01590][g] + [1.0][m02024][g]
HMR_8179	[1.0][m01592][g] + [1.0][m02015][g] => [1.0][m01590][g] + [1.0][m01947][g]
HMR_0347	[1.0][m01371][c] + [1.0][m02040][c] + [1.0][m03153][c] => [1.0][m01285][c] + [1.0][m02751][c] + [1.0][m03153][s]
HMR_0346	[1.0][m02040][c] + [1.0][m02112][c] => [1.0][m01597][c] + [1.0][m03153][c]
HMR_0345	[1.0][m01334][c] + [1.0][m02759][c] + [1.0][m02112][c] <=> [1.0][m01371][c] + [1.0][m01597][c] + [1.0][m03153][c]
HMR_0344	[1.0][m03153][s] => [1.0][m03153][c]
HMR_0343	[1.0][m01371][c] + [1.0][m02040][c] + [1.0][m01432][c] => [1.0][m01285][c] + [1.0][m02751][c] + [1.0][m01432][s]
